appln_id,title,abstract,earliest_filing_year,green,cpc_subclasses
489500750,Interposer for integration of multiple image sensors,"Apparatuses and methods for an interposer for integration of multiple image sensors are disclosed herein. An example apparatus includes an interposer including laterally spaced first and second windows, and first and second image sensors disposed on the interposer over the first and second windows, respectively. The interposer including conductive conduits formed in or on to provide electrically conductive paths there through with the first and second image sensors coupled to the conductive conduits. The first and second image sensors laterally spaced by a gap, and an active area of the first and second image sensors to receive incident light through the respective first and second windows, where a perspective of the first image is different than a perspective of the second image sensor based at least in part on the gap.",2016,0,A61B|G02B|H01L|H04N
449426101,Ion conducting fluoropolymer carbonates for alkali metal ion batteries,"Liquid or solid electrolyte compositions are described that comprise a homogeneous solvent system and an alkali metal salt dissolved in said solvent system. The solvent system may comprise a fluoropolymer, having one or two terminal carbonate groups covalently coupled thereto. Batteries containing such electrolyte compositions are also described.",2013,1,H01M
582836237,DEVICE FOR GENERATING ELECTRICITY,"The present disclosure provides a device for window of a building or structure. The device comprises a panel having an area that is transparent for at least a portion of visible light and having opposite first and second major surfaces. The first major surface is a light receiving surface of the panel. The device further comprises at least one series of solar cells, each solar cell having a light receiving surface which faces the second major surface of the panel and is the directly or indirectly bonded to the panel at the second major surface in a manner such that light can be received by the light receiving surfaces of the solar cells without propagating through a gap between the panel and the light receiving surfaces of the solar cells. The at least one series of solar cells is positioned at and along an edge of the panel and between the edge and the area that is transparent for at least a portion of visible light. Solar cells are only positioned at and along one or more edges of the panel and not in the area that is transparent for at least a portion of visible light.",2019,1,E06B|H01L|H02S
502820734,Field-effect tunable epsilon-near-zero absorber,"The present disclosure provides a system and method for a tunable ENZ material that can vary the absorption of radiant energy. The tunable ENZ material can act as a broadband absorber advantageously using a stack of ultrathin conducting layers having an epsilon-near-zero (ENZ) regime of permittivity at different wavelengths. The conducting materials can include at least partially transparent conducting oxide or transition metal nitride layers with different electron concentrations and hence different ENZ frequencies for a broadband range of energy absorption. The layer(s) can be directly tuned to various frequencies to achieve high levels of absorption at deep subwavelength ENZ thicknesses. An applied electric bias can create electron accumulation/depletion regions in an ENZ semiconductor device and allows control of plasma frequency and hence high levels of absorption in the device. Further, for a stack of layers, the carrier concentration can be altered from layer to layer.",2017,1,G02B|G02F|H01L
574640183,Battery Management for Medical Device,"The present disclosure relates generally to a defibrillator assembly comprising a defibrillator having a first operating mode for delivering a high energy output to a patient and a second operating mode for monitoring the patient, a first battery unit operably coupled to the defibrillator, and a second battery unit operably coupled to the defibrillator. One of the first battery unit and the second battery unit provides power to the defibrillator during the second operating mode. Both the first battery unit and the second battery unit provide power to the defibrillator during the first operating mode.",2020,0,A61B|A61N|H01M|H02J
364306026,Apparatus and kit for containing sports equipment,"An apparatus for containing sports equipment includes: a wall defining an enclosure and a closeable opening in the enclosure, the wall being see-through at the closeable opening; and divider members configurable to an expanded configuration defining compartments within the enclosure and configurable to a substantially planar collapsed configuration, each compartment being dimensioned for receiving sports equipment, the divider members being removably insertable into the enclosure when in the expanded configuration and in the collapsed configuration. The sports equipment includes soccer balls or other types of balls, marker cones, a first aid kit, cooler for ice and pinnies. A lower section of the apparatus has a see-through front cover and a drain. An upper section may be watertight. The apparatus may include a rigid cylindrical compartment for containing marker cones. A kit may include the apparatus and sports equipment contained within the apparatus.",2010,0,A45C|A45F|A63B|B65D
406995945,"Anode material for lithium ion secondary battery, anode for lithium ion secondary battery, and lithium ion secondary battery","An anode material for a lithium ion secondary battery that includes a carbon material having an average interlayer spacing d002 as determined by X-ray diffraction of from 0.335 nm to 0.340 nm, a volume average particle diameter (50% D) of from 1 μm to 40 μm, a maximum particle diameter Dmax of 74 μm or less, and at least two exothermic peaks within a temperature range of from 300° C. to 1000° C. in a differential thermal analysis in an air stream.",2010,1,H01M
410675572,Sample analyzing apparatus and sample analyzing method,"In accordance with an embodiment, a sample analyzing apparatus includes a charged beam generating unit, a detecting unit, and an analyzing unit. The charged beam generating unit is configured to generate a charged beam and apply the charged beam to a sample. The detecting unit is configured to detect charged particles and then output a signal, the charged particles being generated from the sample by the application of the charged beam in a manner depending on a three-dimensional structure and material characteristics of the sample. The analyzing unit is configured to process the signal to analyze the sample.",2012,0,G01N|H01J
405387972,CONSTRUCTION MACHINE,"A construction machine storing a first torque diagram representing a region of a torque and a speed of the engine being able to be driven in a maximum torque region with respect to the engine speed and a second torque diagram in the first torque diagram, and controlling to change the engine speed on the second torque diagram by shifting from the first torque diagram to the second torque diagram based on an operation amount of an operation lever and/or a load applied and decrease the engine speed based on a decrease in load on the second torque diagram, the construction machine comprising: a controller stopping the engine control when a specific mode is selected and controlling so that the engine speed becomes a value in accordance with a setting amount of a fuel adjusting unit regardless of a change in the lever operation amount and/or the load applied.",2010,0,F02D
523021605,Polymers containing furanyl crosslinkable groups and uses thereof,"The present disclosure provides a polymer represented by the following general formula (I):wherein x and y each represent a repeating unit, and both x and y are positive integers; formulaand formulaare each independently selected from the group consisting of an aryl containing 5-40 ring atoms and a heteroaryl containing 5-40 ring atoms; formulais a linking group, and formulais selected from the group consisting of alkyl, alkoxy, amino, alkenyl, alkynyl, aralkyl, and heteroalkyl;and R2, R3 and R4 are each independently selected from the group consisting of H, D, F, CN, alkyl, fluoroalkyl, aryl, heteroaryl, amino, Si, germyl, alkoxy, aryloxy, fluoroalkoxy, siloxane, siloxy, deuterated alkyl, deuterated fluoroalkyl, deuterated aryl, deuterated heteroaryl, deuterated amino, deuterated silyl, deuterated germyl, deuterated alkoxy, deuterated aryloxy, deuterated fluoroalkoxy, deuterated siloxane, and deuterated siloxy.",2016,1,C08F|C08G|H10K
584533839,ELECTROLYTE RECOVERY,"The invention provides a method of recovering a lithium electrolyte salt from a used electrolyte, the method comprising: contacting a used electrolyte comprising a lithium electrolyte salt and electrolyte solvent with a polar aprotic solvent to produce a solution comprising the lithium electrolyte salt, the electrolyte solvent and the polar aprotic solvent, wherein at least one of the electrolyte solvent and the polar aprotic solvent comprises carbonate solvent, combining the solution with a precipitation solvent in which the lithium electrolyte salt is poorly soluble; precipitating a precipitated composition comprising the lithium electrolyte salt solvated by the carbonate solvent from a solvent mixture comprising the polar aprotic solvent, the precipitation solvent and the electrolyte solvent, wherein the precipitated composition precipitates as a solid or as a liquid; and separating the precipitated composition from the solvent mixture.",2020,1,C01D|C01P|C22B|H01M
570580470,Wireless Charing Coil In Wearable Devices,"The present disclosure provides for a wearable device having a wireless power receiving system that may inductively receive or transmit power. The wireless power receiving system includes a receiver coil having a profile that follows a contour of a bottom cover of the wearable device. A transmitter coil from a wireless charging device has a complementary profile that mates with the profile defined by the receiver coil. In one example, the wireless power receiving system includes a shielding, and a receiver coil attached to the shielding. The receiver coil further includes an inner wall and an outer wall connected by a top surface of a coil body. The inner wall defines a center opening in the receiver coil, wherein the receiver coil is conical in shape.",2020,0,H02J
584900611,ENVIRONMENTALLY FRIENDLY PERSONAL HYGIENE AND BEAUTY PRODUCT PACKAGING,"Disclosed herein are earth-friendly packaging systems and methods for containing and dispensing consumable products, such as cosmetics or personal hygiene products. In some embodiments, a body of the packaging system comprises a plurality of circumferentially-oriented detachable strips surrounding a consumable product, wherein individual detachable strips can be removed as the consumable product is used.",2019,1,A45D|B65D
517178960,"Aqueous lithium-ion battery, electrode used therein, and electrode manufacturing method","An aqueous lithium-ion battery and an electrode used therein are provided, wherein the electrode includes a current collector, a coating layer, and a composite layer. The coating layer is disposed on at least one surface of the current collector, and the coating layer contains an active material. The composite layer is disposed on a surface of the coating layer. The composite layer includes a first film and a second film, wherein the first film is between the second film and the surface of the coating layer, and the water contact angle of the first film is greater than the water contact angle of the second film.",2018,1,H01M
593023656,HAIR IMPLANTS COMPRISING ENHANCED ANCHORING AND MEDICAL SAFETY FEATURES,"A hair implant includes: (a) a hair strand anchor including: an anchor body; at least one hair chamber disposed within the anchor body; and at least one tunnel through the anchor body, where the tunnel is free of a hair; and (b) at least one hair strand having a portion thereof retained in the at least one of the hair chamber; wherein the tunnel is configured to support collagen ligature growth after subcutaneous implantation by receiving and retaining collagen ligatures that anchor the hair implant to a hair implant recipient. Also disclosed is a hair implant including an anchor with first and second anchor bodies and at least one bridge connecting the anchor bodies and bridging at least one void between the anchor bodies, wherein the bridge supports and retains collagen ligature growth. One-piece implants are also disclosed, as are anchors, hair restoration and manufacturing methods.",2017,0,A61F
410852191,PCB with Both High and Low Current Traces for Energy Storage Modules,"A printed circuit board (PCB) for an energy storage module is disclosed which includes a first side having a plurality of low current traces useful for monitoring and balancing applications and a second side coated with high current traces, useful for current or power transmission purposes. Vias connect the high current traces to the low current traces thereby electrically connecting both sides of the board together. The disclosed PCB is particularly useful for energy storage modules whereby monitoring and/or balancing of the modules is required in addition to the transmission of high current levels for power applications.",2012,1,H01G|H01M|H05K
492071613,Yeast extract for clarifying musts and beverages,"The present invention relates to the use of a yeast extract including at least 10 wt % of nucleic acids, preferably at least 15 wt %, and more preferably 30 to 95 wt %, relative to the total weight of said extract, said nucleic acids being formed from fragments of ribonucleic acid (RNA), for clarifying musts and liquids, in particular wines and teas.",2015,0,A23F|A23L|A23V|C12G|C12H|C12N
493547416,Manufacturing method for an array substrate,"Disclosed are an array substrate, a manufacturing method thereof, a sensor and a detection device. The array substrate includes: a base substrate; a thin-film transistor (TFT) being disposed on the base substrate and including a source electrode and an active layer; a passivation layer disposed on the TFT; a first metal layer disposed on the passivation layer; an insulating layer disposed on the first metal layer; a through hole structure running through the insulating layer, the first metal layer and the passivation layer; and a detection unit being disposed on the insulating layer and including a second metal layer, wherein the second metal layer makes direct contact with the source electrode via the through hole structure.",2016,1,H01L
469397576,Hall thruster with magnetic discharge chamber and conductive coating,"Hall thrusters with conductive coatings are disclosed. A Hall thruster comprises magnetic shielding in order to avoid collisions with the inner walls of its discharge chamber. By removing the source of erosion, the walls of the chamber can be removed reducing mass, cost and complexity of the thruster. A conductive coating, such as an aluminum coating, is deposited on inner screens between the discharge chamber and the magnetic poles of the thruster. The magnetic field within the chamber shields the conductive coating deposited on the inner and outer screens of the chamber.",2013,0,F03H
560167171,Redundant drive train for pylon mounted rotors,"A system includes an inboard tiltrotor subsystem and an outboard tiltrotor subsystem. The inboard tiltrotor subsystem includes an inboard pylon, an inboard tiltrotor, and a single and non-redundant drivetrain. The outboard tiltrotor subsystem includes an outboard pylon that is coupled to a wing and an outboard tiltrotor. The outboard tiltrotor has a range of motion and is coupled to the wing via the outboard pylon, such that the outboard tiltrotor is aft of the wing. The outboard tiltrotor subsystem further includes a redundant drivetrain (which has a plurality of motors and a plurality of motor controllers) that drives one or more blades and the one or more blades.",2019,1,B60L|B64C|B64D|G05D
502821437,Electrical power conversion apparatus,"An electrical power conversion apparatus is provided which includes a semiconductor module and a plurality of cooling pipes. Each of the cooling pipes has an electrical conductivity and a cooling medium flow path formed therein. Each of the cooling pipes is equipped with a flow path extension forming portion which protrudes above a module body in at least one of height-wise directions and in which a portion of the cooling medium flow path is formed. The flow path extension forming portion overlaps at least either of the power terminals or the control terminals in a stacking direction of the cooling pipes. This enhances the efficiency in decreasing the inductance of the power terminals and/or the control terminals, improves the productivity of the electrical power conversion apparatus, and enables the size of the electrical power conversion apparatus to be reduced.",2017,0,H01L|H02M|H05K
494030590,Method and system for energy conversion from a flow of fluid,"System for power generation from a flow of fluid, comprising a fluid driven device connected to a tether wherein the tether is coupled with a base station to convert energy from the flow of fluid into transportable energy, wherein the fluid driven device comprises a frame provided with adjustable vanes, and wherein the vanes are adjustable for setting into a predefine position relative to the flow of fluid. The fluid driven device comprises a working mode and a retraction mode, wherein in the working mode the vanes are set in a first predetermined position to generate a lift force from the flow of fluid, and wherein in the retraction mode the vanes are set in a second predetermined position to provide a low drag level to the flow of fluid, and wherein the work performed during working mode is larger than the work supplied during retraction mode.",2015,1,F03B|F03D|F05B
470174717,Communication system and communication method,"A communication system includes a first communication terminal and a second communication terminal. The first communication terminal provides first terminal identification information read out from a memory to a first mobile terminal. The second communication terminal obtains the first terminal identification information from a second mobile terminal, the second mobile terminal being a mobile terminal that has received the first terminal identification information from the first mobile terminal through a first communication session. The second communication terminal further transmits a request for starting communication with the first communication terminal to establish a second communication session with the first communication terminal.",2015,0,H04L|H04W
583578880,Communication Method and Communication Apparatus,"A communication method includes obtaining a plurality of to-be-encoded symbols; determining, from a symbol matrix, a plurality of first symbols corresponding to the to-be-encoded symbols, where the symbol matrix includes a plurality of rows of symbols and a plurality of columns of symbols, symbols in the symbol matrix constitute a plurality of blocks, the blocks constitute a block matrix, and the first symbols include symbols in a plurality of first blocks in the block matrix, where the first blocks are grouped into at least one block group, a difference between row numbers of any two first blocks in any block group is not the same as a difference between row numbers of other two first blocks in the any block group; and performing check processing on the first symbols and the to-be-encoded symbols to generate checked symbols.",2020,0,H03M|H04L
338782739,Light emitting diode and method for manufacturing the same,"A light-emitting diode comprises a light-emitting diode chip having a first semiconductor layer, a first electrode, an active layer formed on the first semiconductor layer, a second semiconductor layer formed on the active layer and a second electrode formed on the second semiconductor layer. The first semiconductor layer, the active layer, the second semiconductor layer and the second electrode sequentially compose a stacked multilayer. A blind hole penetrates the second electrode, the second semiconductor layer, the active layer and inside the first semiconductor layer. The first electrode is disposed on the first semiconductor layer inside the blind hole. A first supporting layer and a second supporting layer are respectively disposed on the first electrode and the second electrode, wherein the first supporting layer and the second supporting layer are separated from each other. A method for manufacturing the light-emitting diode is also provided in the disclosure.",2010,0,H01L
540521836,Hall-effect sensor package with added current path,"A Hall-effect sensor package includes and an IC die including a Hall-Effect element and a leadframe including leads on a first side providing a first field generating current (FGC) path including ≥1 first FGC input pin coupled by a reduced width first curved head over or under the Hall-effect sensor element to ≥1 first FGC output pin, and second leads on a second side of the package. Some leads on the second side are attached to bond pads on the IC die including the output of the Hall-effect element. A clip is attached at one end to the first FGC input pin and at another end to a location on the first FGC output pin, having a reduced width second curved head in between that is over or under the Hall-effect sensor element opposite the first head.",2019,0,G01R|H01L|H10N
352775008,KEYBOARD OPERATION ON APPLICATION LAUNCH,"Methods and devices for selectively presenting a virtual keyboard are provided. More particularly, upon the receipt of instructions to launch an application, a determination can be made as to whether the application is associated with instructions to receive keyboard focus on launch. If the application is to receive keyboard focus on launch, a virtual keyboard is presented together with the newly launched application. Where an application is not set to receive keyboard focus on launch, a virtual keyboard that is presented when instructions to launch the application are received can be dismissed.",2010,0,G06F|G06T|G09G|H04L
486008618,Optical waveguide using fresnel lenses,"An optical waveguide for a see-through display system using Fresnel lenses is disclosed. This invention enables high efficiency of light utilization, wavelength independence, high resolution and very small form factor. This display system is suitable for head-up-display and wearable display.",2016,0,G02B
581293715,ELECTRONIC DEVICE AND OPERATION METHOD OF ELECTRONIC DEVICE,"An electronic device, according to an embodiment of the disclosure, may comprise: a touchscreen including a first portion and a second portion; a memory; and a processor operatively connected to the touchscreen and the memory. The memory may store instructions that, when executed, cause the processor to: recognize a first point at which a touch input is in contact with the second portion, recognize a second point at which the touch input is separated from the touch screen, recognize at least one third point at which the touch input is periodically in contact with the touch screen in a state in which the touch input is in contact with the touch screen, and activate the touch input based on whether at least one of the second point and the at least one third point is located outside a specified area having a specified radius set with respect to the first point.",2020,0,G06F
531549425,Method for producing an optoelectronic device and optoelectronic device,"An optoelectronic component may be produced by providing a temporary carrier, applying a functional film to the temporary carrier, arranging optoelectronic elements within openings of the functional film in such a way that the mounting sides are facing towards the temporary carrier. The optoelectronic elements are thicker than the functional film such that the elements protrude beyond the functional film in a direction away from the temporary carrier. The method may further include applying a potting compound laterally around the elements and covering the function film and curing the potting compound to form a potting. The method may further include cutting between the openings to create individual optoelectronic components.",2017,0,H01L
365390278,Waterproof structure for electronic device,"A waterproof structure for an electronic device is provided that includes a speaker, a housing, and a cover. The housing holds the speaker and includes at least one through-hole to transmit sound produced by the speaker. The cover includes a first sheet and a second sheet laminated to the first sheet. The stiffness of the second sheet is greater than the stiffness of the first sheet, and the cover is fixed to the housing to seal the at least one through-hole.",2011,0,G03B|H04M|H04N|H04R
410682500,QUANTIFICATION OF CIRCULATING STEM AND PROGENITOR CELLS AS A MEANS OF ASSESSING EFFICACY OF NATUROPATHIC INTERVENTIONS,"Disclosed are tests, correlations and 'theranostic' interventions aimed at optimizing general health through quantification of cells with regenerative potential in circulation. Some embodiments include use of circulating endothelial progenitor cell (EPC) testing as a means of quantifying general health status in a patient. The combination of EPC testing together with a naturopathic intervention, wherein the selection and dosage of said naturopathic intervention is tailored based on said quantitative test is provided. In other embodiments, regenerative cells are selected from the group comprising of very small embryonic like cells (VSEL), CD34 cells with hematopoietic potential, and circulating mesenchymal stem cells (MSC). Naturopathic interventions include recommendations of lifestyle modification, dietary supplements, intravenous vitamins, detoxification, acupuncture, and guided imagery.",2011,0,G01N
523785721,NONAQUEOUS ELECTROLYTE SECONDARY BATTERY,"A nonaqueous electrolyte secondary battery is disclosed including a flat electrode body in which an electrode group including a positive electrode plate, a negative electrode plate, and a separator interposed therebetween is rolled, a nonaqueous electrolyte, and an outer jacket member. The electrode body includes bent portions, in which an electrode group is bent, at both end portions in the major axis direction of a cross section perpendicular to a rolling axis. A resin tape is attached to a portion, which is arranged nearest the rolling start position of the positive electrode plate, of the roll inner surface of the positive electrode mix layer in the bent portion. The resin tape includes an adhesive layer and a base material layer that does not pass lithium ions. An adhesive force of the resin tape to the positive electrode mix layer is 0.1 N/cm or more and 2 N/cm or less.",2017,1,H01M
452238768,Selective catalytic reduction warmup system,"An engine and after treatment system comprising an engine with an exhaust line engaged to upstream after treatment components, the upstream after treatment components engaged to a selective catalytic reduction converter, a means for bypassing the upstream after treatment components to allow engine exhausts to warm a catalyst within the selective catalytic reduction converter. One version allows indirect warming of the catalyst by providing a pathway for engine exhausts thru a warming cavity located on an outer region of the selective catalytic converter and then back thru the upstream after treatment components.",2014,1,F01N
411570586,Metal hydride alloys having improved activation and high rate performance,"A multi-phase metal hydride alloy material which is capable of reversibly absorbing and desorbing hydrogen includes a first main phase or group of phases having an ABx type crystalline structure and a second phase which has a concentration of a modifier element therein which is greater than the concentration of the modifier element in the first phase or group of phases. The modifier element functions to promote the formation of the second phase and may comprise a light rare earth element such as yttrium. The first phase or group of phases may incorporate one or more Laves phases such as a C14, C15, and/or C36 phase. Further disclosed are metal hydride batteries including the alloys.",2012,1,B01J|C01B|C22C
505110944,Acoustic probe and acoustic apparatus,"An acoustic probe includes a plurality of transducers that receives acoustic waves and a supporting body including a supporting portion having a symmetrical concave surface, such as a spherical cap surface, which supports the transducers in a spiral array. The supporting position R at which the supporting portion supports the transducers is given as R(r0, θ, φ) [m, rad, rad] by a polar coordinate with respect to a center of the symmetrical concave surface by setting a sphere radius, a zenith angle, and an azimuth angle as “r0”, “θ”, and “φ”, wherein the plurality of transducers is arrayed at a set azimuth angle spiral pitch in an azimuth angle direction and an axis direction spiral pitch set parallel to a central axis direction of the symmetrical concave surface, and wherein the azimuth angle spiral pitch is an angle acquired by dividing 2π by 1+golden number.",2017,0,A61B|G01N
483685285,"Method of improving visual processing, visual acuity, or both by administering compositions comprising RRR-alpha-tocopherol and carotenoid to infants","Methods for improving the visual processing of a healthy infant by administering a composition comprising RRR-alpha-tocopherol and a carotenoid to the infant are disclosed. Methods for improving the visual acuity of a healthy infant by administering a composition comprising RRR-alpha-tocopherol and a carotenoid to the infant are also disclosed. Methods for improving the visual processing of a healthy infant by administering a composition comprising RRR-alpha-tocopherol to the infant are disclosed. Methods for improving the visual acuity of a healthy infant by administering a composition comprising RRR-alpha-tocopherol to the infant are also disclosed. Methods for improving the development of the visual processing, visual acuity, or both, of an infant by administering a composition comprising RRR-alpha-tocopherol to the infant are also disclosed.",2014,0,A23L|A23V|A61K
437250539,Using voice recognition for recording events,"Various implementations described herein are directed to a wearable device used to determine whether audio data corresponds to a fishing event. The wearable device may include at least one microphone. The wearable device may include a computer system with a processor and memory. The memory may have a plurality of executable instructions. When the executable instructions are executed by the processor, the processor may receive audio data from the at least one microphone, determine whether the received audio data corresponds to a fishing event and store a record of the fishing event, and a timestamp corresponding to the fishing event.",2013,0,A01K|G06F
519104538,Method for focusing light to target object within scattering medium,"Disclosed is a method for focusing light to a target object within scattering medium comprising the following steps: (a) illuminating a plurality of incidence beams having different incidence patterns from each other, and obtaining reflection beams which are reflected from the target object for each incidence beams by a flight time which is a arrival time of the reflection beam to a camera; (b) forming a time-gated reflection matrix using the plurality of the incidence beams and the plurality of the reflection beams; (c) applying the time-gated reflection matrix to Single Value Decomposition such that a time-gated eigenchannel corresponding to a depth of the target object is calculated; (d) illuminating an eigen incidence beam having an incidence pattern, to which the time-gated eigenchannel is applied, to the target object.",2018,0,A61B|G01N
458534108,"PATTERN FORMING METHOD, METHOD FOR FORMING PATTERNED MASK, METHOD FOR MANUFACTURING ELECTRONIC DEVICE, AND ELECTRONIC DEVICE","There is provided a pattern forming method which includes (I) a step of forming a first film by applying an active light-sensitive or radiation-sensitive resin composition which contains (A) a resin having a repeating unit having a group that is decomposed by the action of an acid and generates a polar group and (B) a compound that generates an acid by irradiation with active light or radiation to a substrate, (II) a step of exposing the first film, (III) a step of forming a line-and-space pattern by developing the exposed first film, and (IV) a step of coating the line-and-space pattern with a second film, in which the top width of the line pattern of the line-and-space pattern formed in Step (III) is larger than the bottom width thereof.",2013,0,C07C|G03F|H01L
438341931,Lighting apparatus and illumination system using the same,"A lighting apparatus includes a power supply unit and a control unit configured to control the power supply unit. The control unit determines, at a time of activation of the lighting apparatus, a first color temperature of the load at an initial stage of lighting based on a command value. Thereafter, the control unit controls the power supply unit such that the light quantity and the color temperature of the load change according to a second output characteristic during a period in which the color temperature of the load changes from the first color temperature to a second color temperature. The second color temperature is a color temperature, in the first output characteristic, corresponding to the command value. A correspondence relationship between a plurality of light quantities and a plurality of color temperatures defined by the second output characteristic is different from that of the first output characteristic.",2013,0,H05B
425056963,TOUCH PANEL,"A touch panel includes a substrate, a plurality of first touch-sensing units, and a plurality of first optical mesh patterns. The first touch-sensing units electrically insulated from each other or one another are located on the substrate. Each of the first touch-sensing units includes a plurality of first mesh patterns connected together. The first optical mesh patterns are located on the substrate. Besides, the first optical mesh patterns are overlapped with the first mesh patterns and located on a surface of the first mesh patterns adjacent to a user.",2013,0,G06F
